-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.334ms         0.04%       2.334ms      10.803us           216  
                                  cudaStreamIsCapturing         0.01%     867.107us         0.01%     879.470us       1.442us       2.130ms         0.03%       2.130ms       3.491us           610  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.961ms         0.03%       1.961ms       4.829us           406  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.956ms         0.03%       1.956ms       9.635us           203  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.374ms         0.02%       1.374ms       6.770us           203  
                                     aten::index_select         0.03%       3.689ms         0.07%       7.612ms      18.748us       1.293ms         0.02%       1.477ms       3.637us           406  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.293ms         0.02%       1.293ms       6.497us           199  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.126ms         0.02%       1.126ms       7.816us           144  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     977.029us         0.02%     977.029us       2.551us           383  
                               cudaEventRecordWithFlags         0.01%       1.319ms         0.01%       1.339ms       3.299us     800.519us         0.01%     800.519us       1.972us           406  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     756.711us         0.01%     756.711us       3.728us           203  
void at_cuda_detail::cub::DeviceReduceKernel<at_cuda...         0.00%       0.000us         0.00%       0.000us       0.000us     632.093us         0.01%     632.093us       4.390us           144  
                                        cudaEventRecord         0.01%     859.787us         0.01%     859.787us       2.107us     564.674us         0.01%     564.674us       1.384us           408  
                                              aten::sub         0.03%       3.448ms         0.05%       5.866ms      28.895us     553.924us         0.01%     556.900us       2.743us           203  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     553.924us         0.01%     553.924us       2.729us           203  
                                   cudaEventSynchronize        25.34%        2.912s        25.77%        2.962s       7.278ms     518.278us         0.01%        1.969s       4.838ms           407  
void at_cuda_detail::cub::DeviceReduceSingleTileKern...         0.00%       0.000us         0.00%       0.000us       0.000us     514.789us         0.01%     514.789us       3.575us           144  
                                     aten::floor_divide         0.01%     626.221us         0.12%      13.570ms     188.466us     486.819us         0.01%     506.787us       7.039us            72  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     486.819us         0.01%     486.819us       6.761us            72  
                                    cudaStreamWaitEvent         0.00%     459.968us         0.00%     459.968us       2.266us     439.683us         0.01%     439.683us       2.166us           203  
