-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.378ms         0.02%       1.378ms       6.789us           203  
                                     aten::index_select         0.10%      11.234ms         0.14%      15.014ms      36.981us       1.292ms         0.02%       1.478ms       3.640us           406  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.292ms         0.02%       1.292ms       6.491us           199  
                                        cudaEventRecord         0.01%     888.770us         0.01%     888.770us       2.178us     920.071us         0.01%     920.071us       2.255us           408  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     757.123us         0.01%     757.123us       3.730us           203  
                                   cudaEventSynchronize        26.89%        2.907s        27.37%        2.960s       7.273ms     718.661us         0.01%        1.969s       4.838ms           407  
                                Activity Buffer Request         0.26%      27.814ms         0.26%      27.814ms       2.140ms     678.789us         0.01%     678.789us      52.215us            13  
                                              aten::sub         0.03%       3.407ms         0.16%      17.346ms      85.451us     554.467us         0.01%     557.475us       2.746us           203  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     554.467us         0.01%     554.467us       2.731us           203  
                               cudaEventRecordWithFlags         0.01%       1.183ms         0.01%       1.203ms       2.963us     541.603us         0.01%     541.603us       1.334us           406  
                                    cudaStreamWaitEvent         0.01%     541.823us         0.01%     541.823us       2.669us     520.644us         0.01%     520.644us       2.565us           203  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     509.864us         0.01%     509.864us       2.512us           203  
                                           aten::gather         0.00%     111.931us         0.00%     171.372us      42.843us     179.552us         0.00%     179.552us      44.888us             4  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     179.552us         0.00%     179.552us      44.888us             4  
                                           Buffer Flush         0.01%       1.425ms         0.01%       1.509ms     107.816us      19.936us         0.00%      19.936us       1.424us            14  
                execute_context_1(8192)_generation_0(0)         1.03%     111.416ms         7.46%     807.148ms     269.049ms       0.000us         0.00%        1.691s     563.756ms             3  
                                            aten::slice         0.37%      39.598ms         0.45%      48.622ms       2.494us       0.000us         0.00%       0.000us       0.000us         19498  
                                       aten::as_strided         0.86%      93.104ms         0.86%      93.104ms       0.679us       0.000us         0.00%       0.000us       0.000us        137161  
                                        cudaMemcpyAsync         0.88%      94.944ms         0.88%      94.952ms      10.805us       0.000us         0.00%       5.791us       0.001us          8788  
                                       aten::lift_fresh         0.00%     120.262us         0.00%     120.262us       0.592us       0.000us         0.00%       0.000us       0.000us           203  
                                          aten::flatten         0.00%     538.035us         0.02%       1.688ms       8.314us       0.000us         0.00%       6.112us       0.030us           203  
                                             aten::view         0.52%      56.117ms         0.52%      56.118ms       0.639us       0.000us         0.00%       6.112us       0.000us         87877  
                                       cudaLaunchKernel         6.87%     743.347ms        12.55%        1.358s      14.012us       0.000us         0.00%     426.179us       0.004us         96890  
                                            aten::fill_         0.01%       1.598ms         0.01%       1.598ms       3.935us       0.000us         0.00%       0.000us       0.000us           406  
                                               aten::to         0.02%       1.897ms         0.47%      50.724ms      41.645us       0.000us         0.00%       5.188ms       4.259us          1218  
                                         aten::_to_copy         0.20%      21.472ms         0.45%      48.827ms      48.106us       0.000us         0.00%       5.188ms       5.111us          1015  
                                    aten::empty_strided         1.67%     180.266ms         1.68%     181.601ms       5.992us       0.000us         0.00%       0.000us       0.000us         30306  
                                        aten::embedding         0.01%     616.608us         0.14%      14.865ms      73.228us       0.000us         0.00%       1.478ms       7.280us           203  
                                            aten::empty         2.15%     232.240ms         2.15%     232.240ms       4.547us       0.000us         0.00%       0.000us       0.000us         51071  
                                          aten::resize_         0.01%     928.038us         0.01%     928.038us       4.572us       0.000us         0.00%       0.000us       0.000us           203  
                                           aten::expand         0.44%      48.085ms         0.56%      60.797ms       2.773us       0.000us         0.00%       0.000us       0.000us         21928  
                                       aten::empty_like         0.45%      48.334ms         2.05%     221.996ms       7.579us       0.000us         0.00%       0.000us       0.000us         29291  
                                           aten::linear         0.80%      87.041ms        18.50%        2.001s      67.979us       0.000us         0.00%        2.918s      99.141us         29435  
                                                aten::t         0.66%      71.139ms         1.47%     158.937ms       5.400us       0.000us         0.00%       0.000us       0.000us         29435  
                                        aten::transpose         0.73%      78.888ms         1.11%     120.024ms       2.743us       0.000us         0.00%       0.000us       0.000us         43763  
